State_Name,"Ssa_State_Cd"
UNKNOWN             ,"00"
Alabama             ,"01"
Alaska              ,"02"
Arizona             ,"03"
Arkansas            ,"04"
California          ,"05"
California          ,"55"
California          ,"75"
Colorado            ,"06"
Connecticut         ,"07"
Delaware            ,"08"
Washington D.C.     ,"09"
Florida             ,"10"
Florida             ,"68"
Florida             ,"69"
Georgia             ,"11"
Hawaii              ,"12"
Idaho               ,"13"
Illinois            ,"14"
Illinois            ,"78"
Indiana             ,"15"
Iowa                ,"16"
Iowa                ,"76"
Kansas              ,"17"
Kansas              ,"70"
Kentucky            ,"18"
Louisiana           ,"19"
Louisiana           ,"71"
Maine               ,"20"
Maryland            ,"21"
Maryland            ,"80"
Massachusetts       ,"22"
Michigan            ,"23"
Minnesota           ,"24"
Minnesota           ,"77"
Mississippi         ,"25"
Missouri            ,"26"
Montana             ,"27"
Nebraska            ,"28"
Nevada              ,"29"
New Hampshire       ,"30"
New Jersey          ,"31"
New Mexico          ,"32"
New York            ,"33"
North Carolina      ,"34"
North Dakota        ,"35"
Ohio                ,"36"
Ohio                ,"72"
Oklahoma            ,"37"
Oregon              ,"38"
Pennsylvania        ,"39"
Pennsylvania        ,"73"
Puerto Rico         ,"40"
Rhode Island        ,"41"
South Carolina      ,"42"
South Dakota        ,"43"
Tennessee           ,"44"
Texas               ,"45"
Texas               ,"67"
Texas               ,"74"
Utah                ,"46"
Vermont             ,"47"
Virgin Islands      ,"48"
Virginia            ,"49"
Washington          ,"50"
West Virginia       ,"51"
Wisconsin           ,"52"
Wyoming             ,"53"
American Samoa      ,"64"
Guam                ,"65"
Other               ,"99"
Texas               ,"67"
Florida             ,"68"
Other               ,"99"
